"C03227V03891","Townlands","TLIST(A1)","CensusYear","STATISTIC","Statistic Label","UNIT","VALUE"
"060010","Abbeyland North, Dunmore North, Co. Galway","2011","2011","CD155C7","Housing stock","Number","35"
"060010","Abbeyland North, Dunmore North, Co. Galway","2011","2011","CD155C8","Vacancy rate","%","51.4"
"060011","Abbeyland South, Dunmore South, Co. Galway","2011","2011","CD155C1","Population","Number","57"
"060011","Abbeyland South, Dunmore South, Co. Galway","2011","2011","CD155C2","Males","Number","34"
"060011","Abbeyland South, Dunmore South, Co. Galway","2011","2011","CD155C3","Females","Number","23"
"060011","Abbeyland South, Dunmore South, Co. Galway","2011","2011","CD155C4","Private households occupied","Number","27"
"060011","Abbeyland South, Dunmore South, Co. Galway","2011","2011","CD155C5","Private households unoccupied","Number","14"
"060011","Abbeyland South, Dunmore South, Co. Galway","2011","2011","CD155C6","Vacant dwellings","Number","10"
"060011","Abbeyland South, Dunmore South, Co. Galway","2011","2011","CD155C7","Housing stock","Number","41"
"060011","Abbeyland South, Dunmore South, Co. Galway","2011","2011","CD155C8","Vacancy rate","%","24.4"
"060012","Abbeypark, Clontuskert, Co. Galway","2011","2011","CD155C1","Population","Number","11"
"060012","Abbeypark, Clontuskert, Co. Galway","2011","2011","CD155C2","Males","Number","9"
"060012","Abbeypark, Clontuskert, Co. Galway","2011","2011","CD155C3","Females","Number","2"
"060012","Abbeypark, Clontuskert, Co. Galway","2011","2011","CD155C4","Private households occupied","Number","4"
"060012","Abbeypark, Clontuskert, Co. Galway","2011","2011","CD155C5","Private households unoccupied","Number","0"
"060012","Abbeypark, Clontuskert, Co. Galway","2011","2011","CD155C6","Vacant dwellings","Number","0"
"060012","Abbeypark, Clontuskert, Co. Galway","2011","2011","CD155C7","Housing stock","Number","4"
"060012","Abbeypark, Clontuskert, Co. Galway","2011","2011","CD155C8","Vacancy rate","%","0"
"060013","Abbeytown, Donaghpatrick, Co. Galway","2011","2011","CD155C1","Population","Number","27"
"060013","Abbeytown, Donaghpatrick, Co. Galway","2011","2011","CD155C2","Males","Number","13"
"060013","Abbeytown, Donaghpatrick, Co. Galway","2011","2011","CD155C3","Females","Number","14"
"060013","Abbeytown, Donaghpatrick, Co. Galway","2011","2011","CD155C4","Private households occupied","Number","10"
"060013","Abbeytown, Donaghpatrick, Co. Galway","2011","2011","CD155C5","Private households unoccupied","Number","0"
"060013","Abbeytown, Donaghpatrick, Co. Galway","2011","2011","CD155C6","Vacant dwellings","Number","0"
"060013","Abbeytown, Donaghpatrick, Co. Galway","2011","2011","CD155C7","Housing stock","Number","10"
"060013","Abbeytown, Donaghpatrick, Co. Galway","2011","2011","CD155C8","Vacancy rate","%","0"
"060014","Abbeyville, Abbeyville, Co. Galway","2011","2011","CD155C1","Population","Number","4"
"060014","Abbeyville, Abbeyville, Co. Galway","2011","2011","CD155C2","Males","Number","2"
"060014","Abbeyville, Abbeyville, Co. Galway","2011","2011","CD155C3","Females","Number","2"
"060014","Abbeyville, Abbeyville, Co. Galway","2011","2011","CD155C4","Private households occupied","Number","3"
"060014","Abbeyville, Abbeyville, Co. Galway","2011","2011","CD155C5","Private households unoccupied","Number","0"
"060014","Abbeyville, Abbeyville, Co. Galway","2011","2011","CD155C6","Vacant dwellings","Number","0"
"060014","Abbeyville, Abbeyville, Co. Galway","2011","2011","CD155C7","Housing stock","Number","3"
"060014","Abbeyville, Abbeyville, Co. Galway","2011","2011","CD155C8","Vacancy rate","%","0"
"060015","Acre Beg, Kilteskill, Co. Galway","2011","2011","CD155C1","Population","Number","15"
"060015","Acre Beg, Kilteskill, Co. Galway","2011","2011","CD155C2","Males","Number","9"
"060015","Acre Beg, Kilteskill, Co. Galway","2011","2011","CD155C3","Females","Number","6"
"060015","Acre Beg, Kilteskill, Co. Galway","2011","2011","CD155C4","Private households occupied","Number","5"
"060015","Acre Beg, Kilteskill, Co. Galway","2011","2011","CD155C5","Private households unoccupied","Number","0"
"060015","Acre Beg, Kilteskill, Co. Galway","2011","2011","CD155C6","Vacant dwellings","Number","0"
"060015","Acre Beg, Kilteskill, Co. Galway","2011","2011","CD155C7","Housing stock","Number","5"
"060015","Acre Beg, Kilteskill, Co. Galway","2011","2011","CD155C8","Vacancy rate","%","0"
"060016","Acre East, Taghboy, Co. Galway","2011","2011","CD155C1","Population","Number","0"
"060016","Acre East, Taghboy, Co. Galway","2011","2011","CD155C2","Males","Number","0"
"060016","Acre East, Taghboy, Co. Galway","2011","2011","CD155C3","Females","Number","0"
"060016","Acre East, Taghboy, Co. Galway","2011","2011","CD155C4","Private households occupied","Number","0"
"060016","Acre East, Taghboy, Co. Galway","2011","2011","CD155C5","Private households unoccupied","Number","0"
"060016","Acre East, Taghboy, Co. Galway","2011","2011","CD155C6","Vacant dwellings","Number","0"
"060016","Acre East, Taghboy, Co. Galway","2011","2011","CD155C7","Housing stock","Number","0"
"060016","Acre East, Taghboy, Co. Galway","2011","2011","CD155C8","Vacancy rate","%","0"
"060017","Acre More, Kilteskill, Co. Galway","2011","2011","CD155C1","Population","Number",""
"060017","Acre More, Kilteskill, Co. Galway","2011","2011","CD155C2","Males","Number",""
"060017","Acre More, Kilteskill, Co. Galway","2011","2011","CD155C3","Females","Number",""
"060017","Acre More, Kilteskill, Co. Galway","2011","2011","CD155C4","Private households occupied","Number",""
"060017","Acre More, Kilteskill, Co. Galway","2011","2011","CD155C5","Private households unoccupied","Number",""
"060017","Acre More, Kilteskill, Co. Galway","2011","2011","CD155C6","Vacant dwellings","Number",""
"060017","Acre More, Kilteskill, Co. Galway","2011","2011","CD155C7","Housing stock","Number",""
"060017","Acre More, Kilteskill, Co. Galway","2011","2011","CD155C8","Vacancy rate","%",""
"060018","Acre West, Taghboy, Co. Galway","2011","2011","CD155C1","Population","Number","0"
"060018","Acre West, Taghboy, Co. Galway","2011","2011","CD155C2","Males","Number","0"
"060018","Acre West, Taghboy, Co. Galway","2011","2011","CD155C3","Females","Number","0"
"060018","Acre West, Taghboy, Co. Galway","2011","2011","CD155C4","Private households occupied","Number","0"
"060018","Acre West, Taghboy, Co. Galway","2011","2011","CD155C5","Private households unoccupied","Number","0"
"060018","Acre West, Taghboy, Co. Galway","2011","2011","CD155C6","Vacant dwellings","Number","0"
"060018","Acre West, Taghboy, Co. Galway","2011","2011","CD155C7","Housing stock","Number","0"
"060018","Acre West, Taghboy, Co. Galway","2011","2011","CD155C8","Vacancy rate","%","0"
"060019","Acres (Dunmore By), Killeen, Co. Galway","2011","2011","CD155C1","Population","Number",""
"060019","Acres (Dunmore By), Killeen, Co. Galway","2011","2011","CD155C2","Males","Number",""
"060019","Acres (Dunmore By), Killeen, Co. Galway","2011","2011","CD155C3","Females","Number",""
"060019","Acres (Dunmore By), Killeen, Co. Galway","2011","2011","CD155C4","Private households occupied","Number",""
"060019","Acres (Dunmore By), Killeen, Co. Galway","2011","2011","CD155C5","Private households unoccupied","Number",""
"060019","Acres (Dunmore By), Killeen, Co. Galway","2011","2011","CD155C6","Vacant dwellings","Number",""
"060019","Acres (Dunmore By), Killeen, Co. Galway","2011","2011","CD155C7","Housing stock","Number",""
"060019","Acres (Dunmore By), Killeen, Co. Galway","2011","2011","CD155C8","Vacancy rate","%",""
"060020","Acres (Leitrim By), Marblehill, Co. Galway","2011","2011","CD155C1","Population","Number",""
"060020","Acres (Leitrim By), Marblehill, Co. Galway","2011","2011","CD155C2","Males","Number",""
"060020","Acres (Leitrim By), Marblehill, Co. Galway","2011","2011","CD155C3","Females","Number",""
"060020","Acres (Leitrim By), Marblehill, Co. Galway","2011","2011","CD155C4","Private households occupied","Number",""
"060020","Acres (Leitrim By), Marblehill, Co. Galway","2011","2011","CD155C5","Private households unoccupied","Number",""
"060020","Acres (Leitrim By), Marblehill, Co. Galway","2011","2011","CD155C6","Vacant dwellings","Number",""
"060020","Acres (Leitrim By), Marblehill, Co. Galway","2011","2011","CD155C7","Housing stock","Number",""
"060020","Acres (Leitrim By), Marblehill, Co. Galway","2011","2011","CD155C8","Vacancy rate","%",""
"060021","Acres (Tiaquin By), Shankill, Co. Galway","2011","2011","CD155C1","Population","Number","11"
"060021","Acres (Tiaquin By), Shankill, Co. Galway","2011","2011","CD155C2","Males","Number","5"
"060021","Acres (Tiaquin By), Shankill, Co. Galway","2011","2011","CD155C3","Females","Number","6"
"060021","Acres (Tiaquin By), Shankill, Co. Galway","2011","2011","CD155C4","Private households occupied","Number","5"
"060021","Acres (Tiaquin By), Shankill, Co. Galway","2011","2011","CD155C5","Private households unoccupied","Number","2"
"060021","Acres (Tiaquin By), Shankill, Co. Galway","2011","2011","CD155C6","Vacant dwellings","Number","2"
"060021","Acres (Tiaquin By), Shankill, Co. Galway","2011","2011","CD155C7","Housing stock","Number","7"
"060021","Acres (Tiaquin By), Shankill, Co. Galway","2011","2011","CD155C8","Vacancy rate","%","28.6"
"060022","Addergoole (Ballynahinch By), Ballynakill, Co. Galway","2011","2011","CD155C1","Population","Number","16"
"060022","Addergoole (Ballynahinch By), Ballynakill, Co. Galway","2011","2011","CD155C2","Males","Number","7"
"060022","Addergoole (Ballynahinch By), Ballynakill, Co. Galway","2011","2011","CD155C3","Females","Number","9"
"060022","Addergoole (Ballynahinch By), Ballynakill, Co. Galway","2011","2011","CD155C4","Private households occupied","Number","6"
"060022","Addergoole (Ballynahinch By), Ballynakill, Co. Galway","2011","2011","CD155C5","Private households unoccupied","Number","0"
"060022","Addergoole (Ballynahinch By), Ballynakill, Co. Galway","2011","2011","CD155C6","Vacant dwellings","Number","0"
"060022","Addergoole (Ballynahinch By), Ballynakill, Co. Galway","2011","2011","CD155C7","Housing stock","Number","6"
"060022","Addergoole (Ballynahinch By), Ballynakill, Co. Galway","2011","2011","CD155C8","Vacancy rate","%","0"
"060023","Addergoole, Annaghdown, Co. Galway","2011","2011","CD155C1","Population","Number","25"
"060023","Addergoole, Annaghdown, Co. Galway","2011","2011","CD155C2","Males","Number","15"
"060023","Addergoole, Annaghdown, Co. Galway","2011","2011","CD155C3","Females","Number","10"
"060023","Addergoole, Annaghdown, Co. Galway","2011","2011","CD155C4","Private households occupied","Number","7"
"060023","Addergoole, Annaghdown, Co. Galway","2011","2011","CD155C5","Private households unoccupied","Number","2"
"060023","Addergoole, Annaghdown, Co. Galway","2011","2011","CD155C6","Vacant dwellings","Number","1"
"060023","Addergoole, Annaghdown, Co. Galway","2011","2011","CD155C7","Housing stock","Number","9"
"060023","Addergoole, Annaghdown, Co. Galway","2011","2011","CD155C8","Vacancy rate","%","11.1"
"060024","Addergoole, Killererin, Co. Galway","2011","2011","CD155C1","Population","Number","11"
"060024","Addergoole, Killererin, Co. Galway","2011","2011","CD155C2","Males","Number","5"
"060024","Addergoole, Killererin, Co. Galway","2011","2011","CD155C3","Females","Number","6"
"060024","Addergoole, Killererin, Co. Galway","2011","2011","CD155C4","Private households occupied","Number","4"
"060024","Addergoole, Killererin, Co. Galway","2011","2011","CD155C5","Private households unoccupied","Number","0"
"060024","Addergoole, Killererin, Co. Galway","2011","2011","CD155C6","Vacant dwellings","Number","0"
"060024","Addergoole, Killererin, Co. Galway","2011","2011","CD155C7","Housing stock","Number","4"
"060024","Addergoole, Killererin, Co. Galway","2011","2011","CD155C8","Vacancy rate","%","0"
"060025","Addergoole (Longford By), Kiltormer, Co. Galway","2011","2011","CD155C1","Population","Number","12"
"060025","Addergoole (Longford By), Kiltormer, Co. Galway","2011","2011","CD155C2","Males","Number","5"
"060025","Addergoole (Longford By), Kiltormer, Co. Galway","2011","2011","CD155C3","Females","Number","7"
"060025","Addergoole (Longford By), Kiltormer, Co. Galway","2011","2011","CD155C4","Private households occupied","Number","7"
"060025","Addergoole (Longford By), Kiltormer, Co. Galway","2011","2011","CD155C5","Private households unoccupied","Number","1"
"060025","Addergoole (Longford By), Kiltormer, Co. Galway","2011","2011","CD155C6","Vacant dwellings","Number","1"
"060025","Addergoole (Longford By), Kiltormer, Co. Galway","2011","2011","CD155C7","Housing stock","Number","8"
"060025","Addergoole (Longford By), Kiltormer, Co. Galway","2011","2011","CD155C8","Vacancy rate","%","12.5"
"060026","Addergoole Beg, Dunmore North, Co. Galway","2011","2011","CD155C1","Population","Number","11"
"060026","Addergoole Beg, Dunmore North, Co. Galway","2011","2011","CD155C2","Males","Number","6"
"060026","Addergoole Beg, Dunmore North, Co. Galway","2011","2011","CD155C3","Females","Number","5"
"060026","Addergoole Beg, Dunmore North, Co. Galway","2011","2011","CD155C4","Private households occupied","Number","3"
"060026","Addergoole Beg, Dunmore North, Co. Galway","2011","2011","CD155C5","Private households unoccupied","Number","3"
"060026","Addergoole Beg, Dunmore North, Co. Galway","2011","2011","CD155C6","Vacant dwellings","Number","3"
"060026","Addergoole Beg, Dunmore North, Co. Galway","2011","2011","CD155C7","Housing stock","Number","6"
"060026","Addergoole Beg, Dunmore North, Co. Galway","2011","2011","CD155C8","Vacancy rate","%","50"
"060027","Addergoole More, Dunmore South, Co. Galway","2011","2011","CD155C1","Population","Number","18"
"060027","Addergoole More, Dunmore South, Co. Galway","2011","2011","CD155C2","Males","Number","12"
"060027","Addergoole More, Dunmore South, Co. Galway","2011","2011","CD155C3","Females","Number","6"
"060027","Addergoole More, Dunmore South, Co. Galway","2011","2011","CD155C4","Private households occupied","Number","6"
"060027","Addergoole More, Dunmore South, Co. Galway","2011","2011","CD155C5","Private households unoccupied","Number","0"
"060027","Addergoole More, Dunmore South, Co. Galway","2011","2011","CD155C6","Vacant dwellings","Number","0"
"060027","Addergoole More, Dunmore South, Co. Galway","2011","2011","CD155C7","Housing stock","Number","6"
"060027","Addergoole More, Dunmore South, Co. Galway","2011","2011","CD155C8","Vacancy rate","%","0"
"060028","Addergoole North, Ahascragh, Co. Galway","2011","2011","CD155C1","Population","Number","14"
"060028","Addergoole North, Ahascragh, Co. Galway","2011","2011","CD155C2","Males","Number","7"
"060028","Addergoole North, Ahascragh, Co. Galway","2011","2011","CD155C3","Females","Number","7"
"060028","Addergoole North, Ahascragh, Co. Galway","2011","2011","CD155C4","Private households occupied","Number","6"
"060028","Addergoole North, Ahascragh, Co. Galway","2011","2011","CD155C5","Private households unoccupied","Number","4"
"060028","Addergoole North, Ahascragh, Co. Galway","2011","2011","CD155C6","Vacant dwellings","Number","4"
"060028","Addergoole North, Ahascragh, Co. Galway","2011","2011","CD155C7","Housing stock","Number","10"
"060028","Addergoole North, Ahascragh, Co. Galway","2011","2011","CD155C8","Vacancy rate","%","40"
"060029","Addergoole South, Ahascragh, Co. Galway","2011","2011","CD155C1","Population","Number","0"
"060029","Addergoole South, Ahascragh, Co. Galway","2011","2011","CD155C2","Males","Number","0"
"060029","Addergoole South, Ahascragh, Co. Galway","2011","2011","CD155C3","Females","Number","0"
"060029","Addergoole South, Ahascragh, Co. Galway","2011","2011","CD155C4","Private households occupied","Number","0"
"060029","Addergoole South, Ahascragh, Co. Galway","2011","2011","CD155C5","Private households unoccupied","Number","0"
"060029","Addergoole South, Ahascragh, Co. Galway","2011","2011","CD155C6","Vacant dwellings","Number","0"
"060029","Addergoole South, Ahascragh, Co. Galway","2011","2011","CD155C7","Housing stock","Number","0"
"060029","Addergoole South, Ahascragh, Co. Galway","2011","2011","CD155C8","Vacancy rate","%","0"
"060030","Addergoole West, Ahascragh, Co. Galway","2011","2011","CD155C1","Population","Number","0"
"060030","Addergoole West, Ahascragh, Co. Galway","2011","2011","CD155C2","Males","Number","0"
"060030","Addergoole West, Ahascragh, Co. Galway","2011","2011","CD155C3","Females","Number","0"
"060030","Addergoole West, Ahascragh, Co. Galway","2011","2011","CD155C4","Private households occupied","Number","0"
"060030","Addergoole West, Ahascragh, Co. Galway","2011","2011","CD155C5","Private households unoccupied","Number","0"
"060030","Addergoole West, Ahascragh, Co. Galway","2011","2011","CD155C6","Vacant dwellings","Number","0"
"060030","Addergoole West, Ahascragh, Co. Galway","2011","2011","CD155C7","Housing stock","Number","0"
"060030","Addergoole West, Ahascragh, Co. Galway","2011","2011","CD155C8","Vacancy rate","%","0"
"060031","Addragool, Moycullen, Co. Galway","2011","2011","CD155C1","Population","Number","64"
"060031","Addragool, Moycullen, Co. Galway","2011","2011","CD155C2","Males","Number","32"
"060031","Addragool, Moycullen, Co. Galway","2011","2011","CD155C3","Females","Number","32"
"060031","Addragool, Moycullen, Co. Galway","2011","2011","CD155C4","Private households occupied","Number","19"
"060031","Addragool, Moycullen, Co. Galway","2011","2011","CD155C5","Private households unoccupied","Number","2"
"060031","Addragool, Moycullen, Co. Galway","2011","2011","CD155C6","Vacant dwellings","Number","1"
"060031","Addragool, Moycullen, Co. Galway","2011","2011","CD155C7","Housing stock","Number","21"
"060031","Addragool, Moycullen, Co. Galway","2011","2011","CD155C8","Vacancy rate","%","4.8"
"060032","Aggard Beg, Craughwell, Co. Galway","2011","2011","CD155C1","Population","Number","34"
"060032","Aggard Beg, Craughwell, Co. Galway","2011","2011","CD155C2","Males","Number","18"
"060032","Aggard Beg, Craughwell, Co. Galway","2011","2011","CD155C3","Females","Number","16"
"060032","Aggard Beg, Craughwell, Co. Galway","2011","2011","CD155C4","Private households occupied","Number","12"
"060032","Aggard Beg, Craughwell, Co. Galway","2011","2011","CD155C5","Private households unoccupied","Number","0"
"060032","Aggard Beg, Craughwell, Co. Galway","2011","2011","CD155C6","Vacant dwellings","Number","0"
"060032","Aggard Beg, Craughwell, Co. Galway","2011","2011","CD155C7","Housing stock","Number","12"
"060032","Aggard Beg, Craughwell, Co. Galway","2011","2011","CD155C8","Vacancy rate","%","0"
"060033","Aggard More, Craughwell, Co. Galway","2011","2011","CD155C1","Population","Number","50"
"060033","Aggard More, Craughwell, Co. Galway","2011","2011","CD155C2","Males","Number","25"
"060033","Aggard More, Craughwell, Co. Galway","2011","2011","CD155C3","Females","Number","25"
"060033","Aggard More, Craughwell, Co. Galway","2011","2011","CD155C4","Private households occupied","Number","15"
"060033","Aggard More, Craughwell, Co. Galway","2011","2011","CD155C5","Private households unoccupied","Number","2"
"060033","Aggard More, Craughwell, Co. Galway","2011","2011","CD155C6","Vacant dwellings","Number","0"
"060033","Aggard More, Craughwell, Co. Galway","2011","2011","CD155C7","Housing stock","Number","17"
"060033","Aggard More, Craughwell, Co. Galway","2011","2011","CD155C8","Vacancy rate","%","0"
"060034","Aghafadda, Tiaquin, Co. Galway","2011","2011","CD155C1","Population","Number",""
"060034","Aghafadda, Tiaquin, Co. Galway","2011","2011","CD155C2","Males","Number",""
"060034","Aghafadda, Tiaquin, Co. Galway","2011","2011","CD155C3","Females","Number",""
"060034","Aghafadda, Tiaquin, Co. Galway","2011","2011","CD155C4","Private households occupied","Number",""
"060034","Aghafadda, Tiaquin, Co. Galway","2011","2011","CD155C5","Private households unoccupied","Number",""
"060034","Aghafadda, Tiaquin, Co. Galway","2011","2011","CD155C6","Vacant dwellings","Number",""
"060034","Aghafadda, Tiaquin, Co. Galway","2011","2011","CD155C7","Housing stock","Number",""
"060034","Aghafadda, Tiaquin, Co. Galway","2011","2011","CD155C8","Vacancy rate","%",""
"060035","Aghalateeve, Ballynakill, Co. Galway","2011","2011","CD155C1","Population","Number","31"
"060035","Aghalateeve, Ballynakill, Co. Galway","2011","2011","CD155C2","Males","Number","15"
"060035","Aghalateeve, Ballynakill, Co. Galway","2011","2011","CD155C3","Females","Number","16"
"060035","Aghalateeve, Ballynakill, Co. Galway","2011","2011","CD155C4","Private households occupied","Number","11"
"060035","Aghalateeve, Ballynakill, Co. Galway","2011","2011","CD155C5","Private households unoccupied","Number","1"
"060035","Aghalateeve, Ballynakill, Co. Galway","2011","2011","CD155C6","Vacant dwellings","Number","1"
"060035","Aghalateeve, Ballynakill, Co. Galway","2011","2011","CD155C7","Housing stock","Number","12"
"060035","Aghalateeve, Ballynakill, Co. Galway","2011","2011","CD155C8","Vacancy rate","%","8.3"
"060036","Aghanahil, Mounthazel, Co. Galway","2011","2011","CD155C1","Population","Number","7"
